Date;Time;Sequence;DepthSequence;Price;Volume;TradeType;AskPrice;BidPrice;AskSize;BidSize;TotalAskDepth;TotalBidDepth;AskDOMPrice;BidDOMPrice;AskDOM_0;BidDOM_0;AskDOM_1;BidDOM_1;AskDOM_2;BidDOM_2;AskDOM_3;BidDOM_3;AskDOM_4;BidDOM_4;AskDOM_5;BidDOM_5;AskDOM_6;BidDOM_6;AskDOM_7;BidDOM_7;AskDOM_8;BidDOM_8;AskDOM_9;BidDOM_9;AskDOM_10;BidDOM_10;AskDOM_11;BidDOM_11;AskDOM_12;BidDOM_12;AskDOM_13;BidDOM_13;AskDOM_14;BidDOM_14;AskDOM_15;BidDOM_15;AskDOM_16;BidDOM_16;AskDOM_17;BidDOM_17;AskDOM_18;BidDOM_18;AskDOM_19;BidDOM_19;AskDOM_20;BidDOM_20;AskDOM_21;BidDOM_21;AskDOM_22;BidDOM_22;AskDOM_23;BidDOM_23;AskDOM_24;BidDOM_24;AskDOM_25;BidDOM_25;AskDOM_26;BidDOM_26;AskDOM_27;BidDOM_27;AskDOM_28;BidDOM_28;AskDOM_29;BidDOM_29;AskDOM_30;BidDOM_30;AskDOM_31;BidDOM_31;AskDOM_32;BidDOM_32;AskDOM_33;BidDOM_33;AskDOM_34;BidDOM_34;AskDOM_35;BidDOM_35;AskDOM_36;BidDOM_36;AskDOM_37;BidDOM_37;AskDOM_38;BidDOM_38;AskDOM_39;BidDOM_39
2022-01-24;13:30:21.14000;2318671;2318670;4346.75;1;1;4347;4346.75;23;3;279;258;4346.75;4346.5;12;12;22;23;21;25;22;28;22;30;26;26;35;46;29;31;28;32;33;45;45;33;40;34;28;49;48;32;30;62;29;31;36;43;46;36;52;93;41;40;51;48;65;53;55;70;51;53;51;56;63;65;52;170;57;62;52;65;64;70;49;68;54;69;43;79;53;66;52;116;49;74;49;71;60;77;51;78;50;73
2022-01-24;13:30:21.14001;2318672;2318670;4346.75;2;1;4347;4346.75;23;3;279;258;4346.75;4346.5;12;12;22;23;21;25;22;28;22;30;26;26;35;46;29;31;28;32;33;45;45;33;40;34;28;49;48;32;30;62;29;31;36;43;46;36;52;93;41;40;51;48;65;53;55;70;51;53;51;56;63;65;52;170;57;62;52;65;64;70;49;68;54;69;43;79;53;66;52;116;49;74;49;71;60;77;51;78;50;73
2022-01-24;13:30:21.16000;2318680;2318679;4346.75;1;2;4346.75;4346.5;5;11;240;296;4346.75;4346.5;12;12;22;23;21;25;22;28;22;30;26;26;35;46;29;31;28;32;33;45;45;33;40;34;28;49;48;32;30;62;29;31;36;43;46;36;52;93;41;40;51;48;65;53;55;70;51;53;51;56;63;65;52;170;57;62;52;65;64;70;49;68;54;69;43;79;53;66;52;116;49;74;49;71;60;77;51;78;50;73
2022-01-24;13:30:21.16001;2318681;2318679;4346.75;1;2;4346.75;4346.5;5;11;240;296;4346.75;4346.5;12;12;22;23;21;25;22;28;22;30;26;26;35;46;29;31;28;32;33;45;45;33;40;34;28;49;48;32;30;62;29;31;36;43;46;36;52;93;41;40;51;48;65;53;55;70;51;53;51;56;63;65;52;170;57;62;52;65;64;70;49;68;54;69;43;79;53;66;52;116;49;74;49;71;60;77;51;78;50;73
2022-01-24;13:30:21.16002;2318682;2318679;4346.75;2;2;4346.75;4346.5;5;11;240;296;4346.75;4346.5;12;12;22;23;21;25;22;28;22;30;26;26;35;46;29;31;28;32;33;45;45;33;40;34;28;49;48;32;30;62;29;31;36;43;46;36;52;93;41;40;51;48;65;53;55;70;51;53;51;56;63;65;52;170;57;62;52;65;64;70;49;68;54;69;43;79;53;66;52;116;49;74;49;71;60;77;51;78;50;73
2022-01-24;13:30:21.16003;2318683;2318679;4346.75;1;2;4346.75;4346.5;5;11;240;296;4346.75;4346.5;12;12;22;23;21;25;22;28;22;30;26;26;35;46;29;31;28;32;33;45;45;33;40;34;28;49;48;32;30;62;29;31;36;43;46;36;52;93;41;40;51;48;65;53;55;70;51;53;51;56;63;65;52;170;57;62;52;65;64;70;49;68;54;69;43;79;53;66;52;116;49;74;49;71;60;77;51;78;50;73
2022-01-24;13:30:21.21000;2318691;2318690;4346.75;2;2;4346.75;4346.5;2;12;236;297;4346.75;4346.5;12;12;22;23;21;25;22;28;22;30;26;26;35;46;29;31;28;32;33;45;45;33;40;34;28;49;48;32;30;62;29;31;36;43;46;36;52;93;41;40;51;48;65;53;55;70;51;53;51;56;63;65;52;170;57;62;52;65;64;70;49;68;54;69;43;79;53;66;52;116;49;74;49;71;60;77;51;78;50;73
2022-01-24;13:30:21.21001;2318694;2318693;4346.75;2;2;4346.75;4346.5;2;12;236;297;4346.75;4346.5;12;12;22;23;21;25;22;28;22;30;26;26;35;46;29;31;28;32;33;45;45;33;40;34;28;49;48;32;30;62;29;31;36;43;46;36;52;93;41;40;51;48;65;53;55;70;51;53;51;56;63;65;52;170;57;62;52;65;64;70;49;68;54;69;43;79;53;66;52;116;49;74;49;71;60;77;51;78;50;73
2022-01-24;13:30:21.101000;2318700;2318699;4346.75;1;2;4346.75;4346.5;11;12;245;297;4346.75;4346.5;12;12;22;23;21;25;22;28;22;30;26;26;35;46;29;31;28;32;33;45;45;33;40;34;28;49;48;32;30;62;29;31;36;43;46;36;52;93;41;40;51;48;65;53;55;70;51;53;51;56;63;65;52;170;57;62;52;65;64;70;49;68;54;69;43;79;53;66;52;116;49;74;49;71;60;77;51;78;50;73
2022-01-24;13:30:21.341000;2318710;2318709;4346.75;1;2;4346.75;4346.5;13;12;251;297;4346.75;4346.5;12;12;22;23;21;25;22;28;22;30;26;26;35;46;29;31;28;32;33;45;45;33;40;34;28;49;48;32;30;62;29;31;36;43;46;36;52;93;41;40;51;48;65;53;55;70;51;53;51;56;63;65;52;170;57;62;52;65;64;70;49;68;54;69;43;79;53;66;52;116;49;74;49;71;60;77;51;78;50;73
2022-01-24;13:30:21.993000;2318726;2318725;4346.75;1;2;4346.75;4346.5;15;10;250;291;4346.75;4346.5;15;6;17;23;21;26;23;28;22;31;27;26;35;39;32;31;28;32;33;30;45;33;40;49;28;49;48;32;31;62;29;31;36;40;46;39;52;93;41;40;51;48;65;53;55;70;51;53;51;56;63;65;52;170;57;62;52;65;64;70;49;68;54;69;43;79;53;66;52;116;49;74;49;71;60;77;51;78;50;73
2022-01-24;13:30:22.36000;2318730;2318729;4346.5;1;1;4346.75;4346.5;19;9;252;290;4346.75;4346.5;15;6;17;23;21;26;23;28;22;31;27;26;35;39;32;31;28;32;33;30;45;33;40;49;28;49;48;32;31;62;29;31;36;40;46;39;52;93;41;40;51;48;65;53;55;70;51;53;51;56;63;65;52;170;57;62;52;65;64;70;49;68;54;69;43;79;53;66;52;116;49;74;49;71;60;77;51;78;50;73
